,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,6,9,known-novelty,1.0,0.999999,0,nothing,0.82,0.0,2.0,{'length': 0.3}
0,6,10,known-novelty,1.0,0.999999,0,nothing,0.42,0.0,2.0,{'length': 0.3}
0,6,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,12,known-novelty,1.0,0.999999,0,nothing,0.925,0.0,2.0,{'length': 0.3}
0,6,13,known-novelty,1.0,0.999999,0,nothing,0.345,0.0,2.0,{'length': 0.3}
0,6,14,known-novelty,1.0,0.999999,0,nothing,0.835,0.0,2.0,{'length': 0.3}
0,6,15,known-novelty,1.0,0.999999,0,nothing,0.49,0.0,2.0,{'length': 0.3}
0,6,16,known-novelty,1.0,0.999999,0,nothing,0.835,0.0,2.0,{'length': 0.3}
0,6,17,known-novelty,1.0,0.999999,0,nothing,0.91,0.0,2.0,{'length': 0.3}
0,6,18,known-novelty,1.0,0.999999,0,nothing,0.91,0.0,2.0,{'length': 0.3}
0,6,19,known-novelty,1.0,0.999999,0,nothing,0.61,0.0,2.0,{'length': 0.3}
0,7,0,non-novelty-performance,0.8777498673844275,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,1,non-novelty-performance,0.996737719347387,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,2,non-novelty-performance,0.996737719347387,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,3,non-novelty-performance,0.996737719347387,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,4,non-novelty-performance,0.996737719347387,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,5,unknown-novelty,1.0,0.999999,0,nothing,0.185,0.0,2.0,{'length': 0.3}
0,7,6,unknown-novelty,1.0,0.999999,0,nothing,0.33,0.0,2.0,{'length': 0.3}
0,7,7,unknown-novelty,1.0,0.999999,0,nothing,0.41,0.0,2.0,{'length': 0.3}
0,7,8,unknown-novelty,1.0,0.999999,0,nothing,0.785,0.0,2.0,{'length': 0.3}
0,7,9,unknown-novelty,1.0,0.999999,0,nothing,0.545,0.0,2.0,{'length': 0.3}
0,7,10,unknown-novelty,1.0,0.999999,0,nothing,0.275,0.0,2.0,{'length': 0.3}
0,7,11,unknown-novelty,1.0,0.999999,0,nothing,0.875,0.0,2.0,{'length': 0.3}
0,7,12,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,13,unknown-novelty,1.0,0.999999,0,nothing,0.615,0.0,2.0,{'length': 0.3}
0,7,14,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,7,15,unknown-novelty,1.0,0.999999,0,nothing,0.615,0.0,2.0,{'length': 0.3}
0,7,16,unknown-novelty,1.0,0.999999,0,nothing,0.975,0.0,2.0,{'length': 0.3}
0,7,17,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,18,unknown-novelty,1.0,0.999999,0,nothing,0.41,0.0,2.0,{'length': 0.3}
0,7,19,unknown-novelty,1.0,0.999999,0,nothing,0.57,0.0,2.0,{'length': 0.3}
0,7,5,known-novelty,1.0,0.999999,0,nothing,0.255,0.0,2.0,{'length': 0.3}
0,7,6,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,7,8,known-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,7,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
